snapshot_date,referrer,count,uniques
2026-08-24,github.com,25,2
2026-08-24,steamcommunity.com,1,1
2026-08-25,github.com,25,2
2026-08-25,steamcommunity.com,1,1
2026-08-26,github.com,30,2
2026-08-26,steamcommunity.com,1,1
2026-08-27,github.com,30,2
2026-08-27,steamcommunity.com,5,2
2026-08-28,github.com,30,2
2026-08-28,steamcommunity.com,5,2
2026-08-29,github.com,30,2
2026-08-29,steamcommunity.com,5,2
2026-08-30,github.com,30,2
2026-08-30,steamcommunity.com,5,2
2026-08-31,github.com,32,3
2026-08-31,steamcommunity.com,5,2
2026-09-01,github.com,32,3
2026-09-01,steamcommunity.com,5,2
2026-09-02,github.com,32,3
2026-09-02,steamcommunity.com,5,2
2026-09-02,ya.ru,5,1
2026-09-03,github.com,32,3
2026-09-03,steamcommunity.com,5,2
2026-09-03,ya.ru,5,1
2026-09-04,github.com,7,2
2026-09-04,steamcommunity.com,5,2
2026-09-04,ya.ru,5,1
2026-09-05,github.com,10,3
2026-09-05,steamcommunity.com,7,4
2026-09-05,ya.ru,5,1
2026-09-06,github.com,10,3
2026-09-06,steamcommunity.com,9,5
2026-09-06,ya.ru,5,1
2026-09-07,github.com,10,3
2026-09-07,steamcommunity.com,9,5
2026-09-07,ya.ru,5,1
