date,views,unique_views,clones,unique_clones
2026-08-10,0,0,0,0
2026-08-11,0,0,0,0
2026-08-12,0,0,0,0
2026-08-13,0,0,0,0
2026-08-14,0,0,0,0
2026-08-15,0,0,0,0
2026-08-16,0,0,0,0
2026-08-17,0,0,0,0
2026-08-18,0,0,0,0
2026-08-19,0,0,0,0
2026-08-20,30,5,26,14
2026-08-21,11,1,3,3
2026-08-22,7,1,4,2
2026-08-23,1,1,1,1
2026-08-24,11,1,21,9
2026-08-25,4,1,2,2
2026-08-26,3,1,3,3
2026-08-27,0,0,1,1
2026-08-28,5,1,2,2
2026-08-29,2,1,7,5
2026-08-30,2,1,1,1
2026-08-31,5,1,7,3
2026-09-01,5,2,4,2
2026-09-02,2,2,11,5
2026-09-03,1,1,4,2
